Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat similar,"anytime you alter genes that would be similar, the degree is where it is different",Comfortable,as long as it's not harmful it sounds okay,Neither comfortable nor uncomfortable,doesn't matter to me,Comfortable,it would seem to be more humane than removing the horns,Comfortable,sounds like a win/win,Neither comfortable nor uncomfortable,not sure if it's good or not,Neither comfortable nor uncomfortable,still not sure,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ","if it's safe, we need to get rid of using as many pesticides as possible","A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ","if they're right, it sounds good",,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Don't know/not sure,Neutral,Strongly agree,Agree,Neutral,Agree,Don't know/ not sure,Don't know/ not sure,Neutral,Agree,Strongly agree,Don't know/not sure,Strongly disagree,Agree,Don't know/not sure,Agree,Strongly agree,Don't know/not sure,Strongly agree,Strongly agree,Strongly disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1956,Associates (2-year degree),Moderate,White,,Other (add details here),unpaid caregiver,"Rarely
","Less than $20,000"
Agree,Agree,Disagree,Neither similar nor different,,Uncomfortable,I am uncertain as to how these changes affect us personally ,Neither comfortable nor uncomfortable,,Uncomfortable,I am uncomfortable with changes what is natural ,Uncomfortable,,Very uncomfortable,,Very uncomfortable,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Female,,1973,Associates (2-year degree),Conservative,"If these categories do not accurately reflect how you self-identify, use this box to write your response",I am Métis French German polish Ukrainian ,On vacation or sick leave from regular job,,"Rarely
","$20,000-$30,000"
Don't know/ not sure,Disagree,Disagree,Don't know/not sure,It seems these three terms are somewhat close but also different.,Neither comfortable nor uncomfortable,I am not sure what to comment,Uncomfortable,It seems two different vegetables are being mixed,Uncomfortable,It seems to be against nature,Uncomfortable,It does not seem natural,Neither comfortable nor uncomfortable,If it does not reduce the food value of wheat it is ok.,Neither comfortable nor uncomfortable,As long as nutritious vale is maintained it is ok.,,,,,Don't know/not sure,It gets a little complicated to figure out.,Don't know/not sure,This is also complicated.,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Male,,1947,"Bachelors (BA, BS, AB)",Liberal,South Asian,,Retired,,Once a week,"$80,000-$100,000"
Neutral,Strongly agree,Neutral,Somewhat similar,they all have to do with alterations jn the anyiha birdies and it’s very much cool,Comfortable,as long as ion get cancer or nothing i’m fine like i don’t see what the issue is ,Uncomfortable,beets make me fart and poop a lot so tht doneee wutevaa sound too exiting to me but it’s okay son you already know wassupppp ,Don't know/not sure,it’s just common sense and it’s gooof for the cows it will help them be better so yeah u don’t mind ,Uncomfortable,cause now ur messin with how it’s body produces and that is very much not accelerating by all means ,Neither comfortable nor uncomfortable,"what if i’m allergic to it ten that’s s 𝕀𝕕𝕜 s red you know 
",Neither comfortable nor uncomfortable,i jus don’t know why i’d want blueberry wheat or sum like taht,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,"Strongly agree
",Agree,Agree,Neutral,Neutral,Agree,Agree,Female,,1999,"Some college, no degree",Liberal,Black,,Working for pay,,"Rarely
","$60,000-$80,000"
Agree,Agree,Strongly disagree,Neither similar nor different,They all modify genes in a different way.,Comfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Comfortable,It is not a living animal,Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Male,,1962,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Very liberal,White,,Retired,,"Rarely
","$60,000-$80,000"
Agree,Neutral,Disagree,Somewhat similar,"They are, in essence, the same procedure executed to varying extents.",Neither comfortable nor uncomfortable,"Part of me wonders what else they might be ""editing"" into these vegetables, another part of me doesn't care because I don't eat them.",Neither comfortable nor uncomfortable,"Same as before, but now curiously wondering how genes from one form of produce might react to ""unnatural"" genes from another.",Neither comfortable nor uncomfortable,"Probably leaning more towards ""uncomfortable"" just because now we're messing with sentient life.",Neither comfortable nor uncomfortable,"And what else might this be doing to the milk itself? Seems like something that really needs to be studied, particularly to determine any long-term effects that might not be immediately obvious.",Neither comfortable nor uncomfortable,"Again it comes down to wondering what other effects (if any) this might be causing, and what else these researchers might have added ""just to see what happens"" (or for possibly more nefarious motives).",Neither comfortable nor uncomfortable,"Still the same. Like so many things that might sound good (or at least ""harmless"") on paper, the human element always makes me wary.",,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,"And exactly how is this ""resistance"" achieved? Are they, in effect, creating plants that produce their own pesticides on par with the pesticides concocted for spraying? Is that really any better?",I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Strongly disagree,Don't know/not sure,Disagree,Don't know/not sure,Strongly agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Male,,1986,High school diploma or GED,Conservative,"If these categories do not accurately reflect how you self-identify, use this box to write your response","I am human. If we want racism to end we need to stop defining and categorizing people as any ""race"" other than human. THAT is our race. The human race.","Unpaid household work (children, family, etc.),Looking for work",,Once a week,"Less than $20,000"
Agree,Agree,Don't know/ not sure,Somewhat similar,,Comfortable,,Comfortable,,Uncomfortable,,Uncomfortable,,Comfortable,,Comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Female,,1965,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,"Rarely
","$40,000-$50,000"
Strongly agree,Strongly agree,Strongly agree,Neither similar nor different,One cannot function properly without the other yet each is on it's own.,Comfortable,It is a pity to lose some attributes by culturing so being able to regain these is great.,Neither comfortable nor uncomfortable,,Comfortable,In evolution it has been noted that certain things disappear when no longer needed or used like fur on some species.,Uncomfortable,"Some of these changes have effects of losing quality for the sake of quantity.
One would have to be certain that side effects are not detrimental to the end product.",Neither comfortable nor uncomfortable,Again as long as the end product is still the same grain we need.,Neither comfortable nor uncomfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",Again if the end result targets less pesticides and the crops are and stay healthy then the work pays off.,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Male,,1942,Associates (2-year degree),Moderate,White,,Working for pay,,Never,"$60,000-$80,000"
Strongly agree,Strongly agree,Strongly disagree,Somewhat different,,Very comfortable,,Comfortable,,Very comfortable,,Comfortable,,Very comfortable,,Very comfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,"Strongly agree
","Strongly agree
","Strongly agree
","Strongly agree
","Strongly agree
","Strongly agree
",Strongly disagree,"Strongly agree
",Male,,1953,"Masters (MA, MS, MBA, Med)",Liberal,White,,Retired,,Never,"$30,000-$40,000"
Agree,Agree,Disagree,Somewhat similar,,Neither comfortable nor uncomfortable,,Comfortable,,Uncomfortable,"unnatural
",Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,Don't know/not sure,,Agree,Agree,Agree,Strongly agree,Disagree,Don't know/not sure,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Don't know/not sure,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly disagree,Disagree,"Strongly agree
",Agree,Don't know/not sure,Agree,Don't know/not sure,Neutral,Don't know/not sure,Female,,1942,"Some college, no degree",Moderate,White,,Retired,,Once a week,"Less than $20,000"
Agree,Agree,Agree,Somewhat different,all three are similar in name slightly but meaning was different ,Comfortable,botha are same breed but differently cultivated ,Comfortable,good,Comfortable,yes,Comfortable,,Comfortable,about temperatures ,Comfortable,yes that’s right ,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Strongly agree
",Agree,Agree,Agree,Agree,Agree,Male,,1985,"Bachelors (BA, BS, AB)",Conservative,South Asian,,Working for pay,,Once a week,"$60,000-$80,000"
Agree,Agree,Disagree,Very different,"Everything is changed, specific things are changed or those specific changes are made to replicate or time. All different things.",Neither comfortable nor uncomfortable,"Would sacrifice aesthetics for taste.
As long as it’s not a chemical change to the food. ",Neither comfortable nor uncomfortable,Same as tomato comment.,Uncomfortable,When it comes to any meat alterations I’m okay with it if it doesn’t harm the animals development and that it isn’t done chemically.,Uncomfortable,,Comfortable,It’s a plant mingling with a plant and it’s so the crop can sustain longer so it makes sense.,Very uncomfortable,Blueberries are fine the way they are a lot of foods. ,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Don't know/ not sure,Disagree,Strongly agree,Don't know/ not sure,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Don't know/not sure,Agree,Neutral,Strongly disagree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Female,,1980,Associates (2-year degree),Moderate,White,,Working for pay,,Never,"$40,000-$50,000"
Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Somewhat different,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,,,,,Neutral,Neutral,Neutral,Neutral,Agree,Don't know/not sure,Neutral,Neutral,Don't know/not sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Neutral,Neutral,Neutral,Female,,1972,"Some college, no degree",Conservative,White,,Other (add details here),Temporarily Unemployed,"Rarely
","$30,000-$40,000"
Strongly agree,Agree,Strongly agree,Very similar,Very good service and likely promotion 10 points,Very comfortable,Very good service and likely promotion 10 points,Very comfortable,Very good service and likely promotion 10,Very comfortable,Very good service and likely promotion 10 points,Very comfortable,Very good service and likely promotion 10 points,Very comfortable,Very good service and likely promotion 10 points,Very comfortable,Very good service and likely promotion 10 points,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",Very good service and likely promotion 10 points,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",Very good service and likely promotion 10 points,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,"Strongly agree
","Strongly agree
",Agree,Agree,Agree,"Strongly agree
",Agree,Agree,Male,,1996,"Masters (MA, MS, MBA, Med)",Very conservative,White,,Working for pay,,Once a week,"Greater than $100,000"
Strongly agree,Agree,Agree,Somewhat similar,Somewhat similar in the sense that they all involve the changing of gene’s ,Uncomfortable,Loosing there real taste,Comfortable,Another natural source of sugar ,Uncomfortable,Where changing a healthy animal with unethical practices ,Neither comfortable nor uncomfortable,Might not be healthy for the milk ,Comfortable,Can produce more and isnt a animal ,Comfortable,Produces more and not a animal ,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,"Strongly agree
","Strongly agree
",Agree,Agree,Agree,Agree,"Strongly agree
",Male,,1989,"Some college, no degree",Liberal,White,,Working for pay,,Once or twice a month,"$80,000-$100,000"
Strongly disagree,Neutral,Strongly disagree,Very similar,Not sure ,Very comfortable,Its sou6good,Don't know/ not sure,,Very comfortable,Not sure ,Very comfortable,Not sure ,Don't know/not sure,,Neither comfortable nor uncomfortable,,,,,,"A small decrease in production of gene-edited crops, in exchange for a small increase in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",Its sound good,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Don't know/ not sure,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,"Strongly agree
","Strongly agree
","Strongly agree
",Agree,Neutral,"Strongly agree
",Female,,1972,"9th – 12th grade, no diploma",Very liberal,White,,"Unpaid household work (children, family, etc.)",,More than once a week,"Less than $20,000"
Agree,Strongly agree,Agree,Somewhat similar,,Comfortable,,Comfortable,,Very comfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Male,,1980,"Masters (MA, MS, MBA, Med)",Conservative,White,,Working for pay,,Once a week,"Greater than $100,000"
Agree,Strongly agree,Agree,Very similar,This is based on science,Very comfortable,Very good tomatoes,Very comfortable,good,Very comfortable,so cute,Very comfortable,Listen to music for you,Very comfortable,good,Very comfortable,This is based on science,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",good,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",good,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,"Strongly agree
",Agree,"Strongly agree
",Agree,"Strongly agree
",Agree,Agree,Agree,Male,,1990,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Very liberal,White,,Working for pay,,More than once a week,"$80,000-$100,000"
Strongly agree,Disagree,Disagree,Very similar,Experimenting with genes,Uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,Don't know/not sure,,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Don't know/not sure,Disagree,Disagree,Neutral,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Female,,1980,"Bachelors (BA, BS, AB)",Moderate,Hispanic,,"Unpaid household work (children, family, etc.)",,Once a week,"$80,000-$100,000"
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat similar,,Very uncomfortable,,Uncomfortable,,Very uncomfortable,,Very uncomfortable,,Uncomfortable,,Very uncomfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,,,,,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1980,High school diploma or GED,Moderate,Black,,Working for pay,,"Rarely
","$80,000-$100,000"
Strongly agree,Agree,Neutral,Somewhat different,,Comfortable,,Very comfortable,,Uncomfortable,,Comfortable,,Very comfortable,,Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Male,,1993,"Masters (MA, MS, MBA, Med)",Moderate,South Asian,,Working for pay,,"Rarely
","$80,000-$100,000"
Agree,Agree,Disagree,Somewhat similar,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Comfortable,,Neither comfortable nor uncomfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Disagree,Don't know/not sure,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,"Strongly agree
",Male,,1958,"Bachelors (BA, BS, AB)",Liberal,White,,Working for pay,,Never,"$20,000-$30,000"
Strongly agree,Agree,Agree,Somewhat similar,Because they are both a invasion to the human body.,Comfortable,"I love tomatoes , always have. As a child I would stand in the garden and  eat them off the vines. Over the years the acidity in tomatoes have been removed. But I still eat them and Heirloom are my favourite. The canned ones troo.Even",Don't know/ not sure,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,the price would defiantly go up if the crops were poor. Better crop yield bring better returns at a fairer price.,Comfortable,"Because a lot of the time blue berries very in quality. People like rich in color, plump juicy berries.","A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",We need to get rid of pesticides. They are dangerous to human health.,Don't know/not sure,,,,,,Agree,Agree,Agree,Agree,Disagree,Disagree,Don't know/not sure,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Don't know/not sure,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Don't know/not sure,Neutral,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Strongly disagree,Agree,"Strongly agree
","Strongly agree
",Female,,1953,"Some college, no degree",Moderate,White,,Retired,,Once or twice a month,"Less than $20,000"
Strongly agree,Strongly agree,Strongly agree,Very similar,I feel very similar because it reminds me of the original genetics.,Very comfortable,I feel very comfortable because tomatoes are easily used in salads.,Neither comfortable nor uncomfortable,I feel this way because beets can cause diseases or viruses.,Very comfortable,I feel very comfortable because we will be able to eat freely.,Very comfortable,I feel very comfortable because we will be able to keep up with our nutritions.,Very comfortable,I feel very comfortable because the picture looks so soothing.,Very comfortable,"I feel very comfortable because blue berries would be less used in smoothies, etc.",,,,,"A large decrease in production of gene-edited crops, in exchange for a large increase in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,"Strongly agree
","Strongly agree
",Agree,Agree,Don't know/not sure,"Strongly agree
",Neutral,"Strongly agree
",Female,,1993,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Moderate,Black,,Working for pay,,Once or twice a month,"$30,000-$40,000"
Strongly agree,Strongly agree,Agree,Somewhat different,different effects on gene strings/expression in resulting organism,Very comfortable,"I'd consider it on a similar line to selective breeding and cloning thereof, just more precise and knowledgeable. Heirlooms are much, much tastier!",Neither comfortable nor uncomfortable,"If it produced the exact ratio/amounts/distribution of glucose/fructose to an heirloom then awesome, but I'm not sure that would be the uppermost goal of a company developing such tomatoes, over shelf life/presentation/etc.",Very comfortable,"Our treatment of animals for food is pretty shit as it is, if we can make any reasonable improvements there I'm for it.",Uncomfortable,"This steps a little into adding discomfort or worsening the quality of the animal's life for production (which is already extensive with modern farm medicine as is, chickens so large that they cannot stand up) to me, as well I feel it may result in lower quality milk than naturally proportionately (to the cow's body, let's say) produced milk. ",Very comfortable,"Badly needed for the future, pending extensive testing on splicing effects, and limiting the insane litigious nature of the patent-owning companies",Comfortable,"If the varieties chosen were for flavour and not purely size/shelf life (eg  wild blueberries and not the bland grape-sized things), then sure. But again, given likely priorities of owners, ehhhh",,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,"ownership here is key, I would absolutely love to see elimination of many major pesticides, but linking ownership/use of these strains to one or a few goliaths of companies is not the right way to approach this solution.",I prefer not to answer this question because I don't have information on who owns or controls these technologies,"Same comments as before, very strong agreement in reducing land use and helping increase biodiversity... but not if we end up with half the world's commercial farmland permanently tied to corporations.",Strongly agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,"Strongly agree
",Neutral,"Strongly agree
","Strongly agree
","Strongly agree
",Male,,1985,"Bachelors (BA, BS, AB)",Liberal,White,,Working for pay,,Never,"$60,000-$80,000"
Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Neither similar nor different,,Don't know/not sure,,Don't know/ not sure,,Uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,,,,,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Don't know/not sure,Neutral,Agree,Agree,Don't know/ not sure,Agree,Agree,Agree,Agree,Agree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Trans or transitioning,,1991,"Some college, no degree",Moderate,"East Asian,South Asian",,"Unable to work, differently abled,Other (add details here)",Laid off due to covid 19,Never,I prefer not to say
Strongly agree,Agree,Neutral,Somewhat different,,Uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Don't know/not sure,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,"Strongly agree
",Disagree,Agree,"Strongly agree
",Strongly disagree,Strongly disagree,Female,,1969,"Bachelors (BA, BS, AB)",Very liberal,White,,Looking for work,,Never,"$40,000-$50,000"
